decidim.proposals.proposals.wizard_aside.back_from_step_2,Back to ideas,Grįžti į idėjas,,
decidim.proposals.proposals.wizard_aside.info,You are sharing an <strong>idea</strong>.,Jūs dalijatės <strong>idėja</strong>.,,
decidim.proposals.proposals.wizard_steps.step_1,Share your idea,Dalytis savo idėja,,
decidim.proposals.proposals.wizard_steps.step_4,Publish your idea,Skelbti savo idėją,,
decidim.proposals.proposals.wizard_steps.title,Idea sharing steps,Dalijimosi idėja etapai,,
decidim.proposals.versions.proposals.back_to_resource,Go back to idea,Grįžti į idėją,,
devise.omniauth_callbacks.failure,"Could not authenticate you from EU Login because ""%{reason}"".","Jūsų nepavyko autentifikuoti pagal „ES Login“ paskyrą. Priežastis – ""%{reason}"".",,
devise.omniauth_callbacks.success,Successfully authenticated from EU Login account.,Autentifikuota pagal „ES Login“ paskyrą.,,
layouts.decidim.language_chooser.close,Close,Uždaryti,,
layouts.decidim.language_chooser.select_your_language,Select your language,Pasirinkti kalbą,,
layouts.decidim.process_navigation.process_menu_item,About,Apie,,
layouts.decidim.user.logged_in,Logged in,Prisijungęs,,
layouts.decidim.user.logged_in_as,Logged in as %{user},Prisijungęs kaip %{user},,
activerecord.models.decidim/accountability/result.one,Result,Rezultatas,,
activerecord.models.decidim/accountability/result.few,Results,Rezultatai,,
activerecord.models.decidim/accountability/result.other,Results,Rezultatai,,
decidim.accountability.results.count.results_count.one,1 result,1 rezultatas,,
decidim.accountability.results.count.results_count.few,%{count} results,%{count} rezultatai,,
decidim.accountability.results.count.results_count.other,%{count} results,%{count} rezultatai,,
activemodel.attributes.id,ID,ID,,
activemodel.attributes.organization.omnipresent_banner_url,URL,URL,,
activerecord.models.decidim/assembly.one,Assembly,Asamblėja,,
activerecord.models.decidim/assembly.few,Assemblies,Asamblėjos,,
activerecord.models.decidim/assembly.other,Assemblies,Asamblėjos,,
activerecord.models.decidim/assembly_member.one,Assembly member,Asamblėjos narys,,
activerecord.models.decidim/assembly_member.few,Assembly members,Asamblėjos nariai,,
activerecord.models.decidim/assembly_member.other,Assembly members,Asamblėjos nariai,,
activerecord.models.decidim/assembly_user_role.one,Assembly user role,Asamblėjos naudotojo vaidmuo,,
activerecord.models.decidim/assembly_user_role.few,Assembly user roles,Asamblėjos naudotojo vaidmenys,,
activerecord.models.decidim/assembly_user_role.other,Assembly user roles,Asamblėjos naudotojo vaidmenys,,
layouts.decidim.assemblies.order_by_assemblies.assemblies.one,%{count} assemblies,%{count} asamblėjos,,
layouts.decidim.assemblies.order_by_assemblies.assemblies.few,%{count} assemblies,%{count} asamblėjos,,
layouts.decidim.assemblies.order_by_assemblies.assemblies.other,%{count} assemblies,%{count} asamblėjos,,
activerecord.models.decidim/blogs/post.one,Post,Įrašas,,
activerecord.models.decidim/blogs/post.few,Posts,Įrašai,,
activerecord.models.decidim/blogs/post.other,Posts,Įrašai,,
activerecord.models.decidim/budgets/project.one,Project,Projektas,,
activerecord.models.decidim/budgets/project.few,Projects,Projektai,,
activerecord.models.decidim/budgets/project.other,Projects,Projektai,,
decidim.budgets.projects.count.projects_count.one,1 project,1 projektas,,
decidim.budgets.projects.count.projects_count.few,%{count} projects,%{count} projektai,,
decidim.budgets.projects.count.projects_count.other,%{count} projects,%{count} projektai,,
decidim.budgets.projects.order_selected_projects.selected_projects.one,project selected,pasirinktas projektas,,
decidim.budgets.projects.order_selected_projects.selected_projects.few,projects selected,pasirinkti projektai,,
