decidim.proposals.proposals.wizard_steps.step_1,Share your idea,Sdílejte svůj nápad,,
decidim.proposals.proposals.wizard_steps.step_4,Publish your idea,Zveřejněte svůj nápad,,
decidim.proposals.proposals.wizard_steps.title,Idea sharing steps,Postup sdílení nápadů,,
decidim.proposals.versions.proposals.back_to_resource,Go back to idea,Zpět na nápad,,
devise.omniauth_callbacks.failure,"Could not authenticate you from EU Login because ""%{reason}"".","Nezdařilo se ověření účtem EU Login z důvodu: ""%{reason}"".",,
devise.omniauth_callbacks.success,Successfully authenticated from EU Login account.,Ověření účtem EU Login proběhlo úspěšně.,,
layouts.decidim.language_chooser.close,Close,Zavřít,,
layouts.decidim.language_chooser.select_your_language,Select your language,Vyberte jazyk,,
layouts.decidim.process_navigation.process_menu_item,About,O aplikaci,,
layouts.decidim.user.logged_in,Logged in,Přihlášen(a),,
layouts.decidim.user.logged_in_as,Logged in as %{user},Přihlášen(a) jako %{user},,
activerecord.models.decidim/accountability/result.one,Result,Výsledek,,
activerecord.models.decidim/accountability/result.few,Results,Výsledky,,
activerecord.models.decidim/accountability/result.other,Results,Výsledky,,
decidim.accountability.results.count.results_count.one,1 result,1 výsledek,,
decidim.accountability.results.count.results_count.few,%{count} results,%{count} výsledky,,
decidim.accountability.results.count.results_count.other,%{count} results,%{count} výsledků,,
activerecord.models.decidim/assembly.one,Assembly,Shromáždění,,
activerecord.models.decidim/assembly.few,Assemblies,Shromáždění,,
activerecord.models.decidim/assembly.other,Assemblies,Shromáždění,,
activerecord.models.decidim/assembly_member.one,Assembly member,Člen shromáždění,,
activerecord.models.decidim/assembly_member.few,Assembly members,Členové shromáždění,,
activerecord.models.decidim/assembly_member.other,Assembly members,Členové shromáždění,,
activerecord.models.decidim/assembly_user_role.one,Assembly user role,Uživatelská role ve shromáždění,,
activerecord.models.decidim/assembly_user_role.few,Assembly user roles,Uživatelské role ve shromáždění,,
activerecord.models.decidim/assembly_user_role.other,Assembly user roles,Uživatelské role ve shromáždění,,
layouts.decidim.assemblies.order_by_assemblies.assemblies.one,%{count} assemblies,%{count} shromáždění,,
layouts.decidim.assemblies.order_by_assemblies.assemblies.few,%{count} assemblies,%{count} shromáždění,,
layouts.decidim.assemblies.order_by_assemblies.assemblies.other,%{count} assemblies,%{count} shromáždění,,
activerecord.models.decidim/blogs/post.one,Post,Příspěvek,,
activerecord.models.decidim/blogs/post.few,Posts,Příspěvky,,
activerecord.models.decidim/blogs/post.other,Posts,Příspěvky,,
activerecord.models.decidim/budgets/project.one,Project,Projekt,,
activerecord.models.decidim/budgets/project.few,Projects,Projekty,,
activerecord.models.decidim/budgets/project.other,Projects,Projekty,,
decidim.budgets.projects.count.projects_count.one,1 project,1 projekt,,
decidim.budgets.projects.count.projects_count.few,%{count} projects,%{count} projekty,,
decidim.budgets.projects.count.projects_count.other,%{count} projects,%{count} projektů,,
decidim.budgets.projects.order_selected_projects.selected_projects.one,project selected,vybraný projekt,,
decidim.budgets.projects.order_selected_projects.selected_projects.few,projects selected,vybrané projekty,,
decidim.budgets.projects.order_selected_projects.selected_projects.other,projects selected,vybraných projektů,,
decidim.budgets.projects.project.votes.one,vote,hlas,,
decidim.budgets.projects.project.votes.few,votes,hlasy,,
decidim.budgets.projects.project.votes.other,votes,hlasů,,
activerecord.models.decidim/comments/comment.one,Comment,Komentář,,
activerecord.models.decidim/comments/comment.few,Comments,Komentáře,,
activerecord.models.decidim/comments/comment.other,Comments,Komentáře,,
activerecord.models.decidim/comments/comment_vote.one,Vote,Hlas,,
activerecord.models.decidim/comments/comment_vote.few,Votes,Hlasy,,
activerecord.models.decidim/comments/comment_vote.other,Votes,Hlasy,,
activerecord.models.decidim/conference.one,Conference,Konference,,
activerecord.models.decidim/conference.few,Conferences,Konference,,
activerecord.models.decidim/conference.other,Conferences,Konference,,
activerecord.models.decidim/conference_speaker.one,Conference speaker,Řečník na konferenci,,
activerecord.models.decidim/conference_speaker.few,Conference speakers,Řečníci na konferenci,,
activerecord.models.decidim/conference_speaker.other,Conference speakers,Řečníci na konferenci,,
activerecord.models.decidim/conference_user_role.one,Conference user role,Uživatelská role na konferenci,,
activerecord.models.decidim/conference_user_role.few,Conference user roles,Uživatelské role na konferenci,,
activerecord.models.decidim/conference_user_role.other,Conference user roles,Uživatelské role na konferenci,,
layouts.decidim.conferences.order_by_conferences.conferences.one,%{count} conference,%{count} konference,,
layouts.decidim.conferences.order_by_conferences.conferences.few,%{count} conferences,%{count} konference,,
layouts.decidim.conferences.order_by_conferences.conferences.other,%{count} conferences,%{count} konferencí,,
activerecord.models.decidim/amendment.one,Amendment,Změna,,
activerecord.models.decidim/amendment.few,Amendments,Změny,,
activerecord.models.decidim/amendment.other,Amendments,Změny,,
activerecord.models.decidim/endorsement.one,Endorsement,Schválení,,
activerecord.models.decidim/endorsement.few,Endorsements,Schválení,,
activerecord.models.decidim/endorsement.other,Endorsements,Schválení,,
activerecord.models.decidim/user.one,Participant,Účastník,,
activerecord.models.decidim/user.few,Participants,Účastníci,,
activerecord.models.decidim/user.other,Participants,Účastníci,,
activerecord.models.decidim/user_group.one,Group,Skupina,,
activerecord.models.decidim/user_group.few,Groups,Skupiny,,
activerecord.models.decidim/user_group.other,Groups,Skupiny,,
decidim.application.collection.documents.one,Document,Dokument,,
decidim.application.collection.documents.few,Documents,Dokumenty,,
decidim.application.collection.documents.other,Documents,Dokumenty,,
decidim.author.comments.one,comment,komentář,,
decidim.author.comments.few,comments,komentáře,,
decidim.author.comments.other,comments,komentářů,,
decidim.author.endorsements.one,endorsement,schválení,,
decidim.author.endorsements.few,endorsements,schválení,,
decidim.author.endorsements.other,endorsements,schválení,,
decidim.collapsible_list.hidden_elements_count.one,and %{count} more,a %{count} další,,
decidim.collapsible_list.hidden_elements_count.few,and %{count} more,a %{count} další,,
decidim.collapsible_list.hidden_elements_count.other,and %{count} more,a %{count} dalších,,
decidim.doorkeeper.authorizations.new.by_organization_link_html,"<small class=""heading-small"">by %{link}</small>","<small class=""heading-small"">od %{link}</small>",,
decidim.followers.followers_count.one,%{count} follower,%{count} fanoušek,,
decidim.followers.followers_count.few,%{count} followers,%{count} fanoušci,,
decidim.followers.followers_count.other,%{count} followers,%{count} fanoušků,,
decidim.menu.help,Help,Nápověda,,
decidim.pages.home.extended.meetings,Meetings,Schůze,,
decidim.pages.home.statistics.meetings_count,Meetings,Schůze,,
decidim.pages.home.statistics.processes_count,Processes,Procesy,,
decidim.pages.home.statistics.proposals_count,Proposals,Návrhy,,
decidim.pages.index.title,Help,Nápověda,,
decidim.searches.results.results.one,%{count} result,%{count} výsledek,,
decidim.searches.results.results.few,%{count} results,%{count} výsledky,,
decidim.searches.results.results.other,%{count} results,%{count} výsledků,,
devise.omniauth_callbacks.failure,"Could not authenticate you from %{kind} because ""%{reason}"".","Nezdařilo se ověření účtem %{kind} z důvodu: ""%{reason}"".",,
devise.omniauth_callbacks.success,Successfully authenticated from %{kind} account.,Ověření účtem %{kind} proběhlo úspěšně.,,
devise.shared.minimum_password_length.one,(%{count} character minimum),(minimálně %{count} znak),,
devise.shared.minimum_password_length.few,(%{count} characters minimum),(minimálně %{count} znaky),,
devise.shared.minimum_password_length.other,(%{count} characters minimum),(minimálně %{count} znaků),,
errors.messages.not_saved.one,There's been an error processing your request:,Při zpracování vašeho požadavku došlo k chybě:,,
errors.messages.not_saved.few,There were multiple errors when processing your request:,Při zpracování vašeho požadavku došlo k chybám:,,
errors.messages.not_saved.other,There were multiple errors when processing your request:,Při zpracování vašeho požadavku došlo k chybám:,,
forms.length_validator.minimum.one,at least %{count} character,minimálně %{count} znak,,
forms.length_validator.minimum.few,at least %{count} characters,minimálně %{count} znaky,,
forms.length_validator.minimum.other,at least %{count} characters,minimálně %{count} znaků,,
locale.name,English,English,,
views.pagination.last,Last &amp;raquo;,Poslední &amp;raquo;,,
views.pagination.next,Next &amp;rsaquo;,Další &amp;rsaquo;,,
activerecord.models.decidim/debates/debate.one,Debate,Diskuse,,
activerecord.models.decidim/debates/debate.few,Debates,Diskuse,,
activerecord.models.decidim/debates/debate.other,Debates,Diskuse,,
decidim.debates.debates.count.debates_count.one,%{count} debate,%{count} diskuse,,
decidim.debates.debates.count.debates_count.few,%{count} debates,%{count} diskuse,,
decidim.debates.debates.count.debates_count.other,%{count} debates,%{count} diskusí,,
activemodel.attributes.close_meeting.closing_report,Report,Zpráva,,
activemodel.models.decidim/meetings/upcoming_meeting_event,Upcoming meeting,Nadcházející schůze,,
activerecord.models.decidim/meetings/meeting.one,Meeting,Schůze,,
activerecord.models.decidim/meetings/meeting.few,Meetings,Schůze,,
activerecord.models.decidim/meetings/meeting.other,Meetings,Schůze,,
activerecord.models.decidim/meetings/minutes.one,Minutes,Zápis,,
activerecord.models.decidim/meetings/minutes.few,Minutes,Zápisy,,
activerecord.models.decidim/meetings/minutes.other,Minutes,Zápisy,,
activerecord.models.decidim/meetings/registration.one,Registration,Registrace,,
activerecord.models.decidim/meetings/registration.few,Registrations,Registrace,,
activerecord.models.decidim/meetings/registration.other,Registrations,Registrace,,
decidim.components.meetings.name,Meetings,Schůze,,
decidim.meetings.actions.invalid_destroy.proposals_count.one,The meeting cannot be destroyed because it has %{count} proposal associated to it:,"Tuto schůzi nelze smazat, protože je s ní spojen %{count} návrh:",,
decidim.meetings.actions.invalid_destroy.proposals_count.few,The meeting cannot be destroyed because it has %{count} proposals associated to it:,"Tuto schůzi nelze smazat, protože jsou s ní spojeny %{count} návrhy:",,
decidim.meetings.actions.invalid_destroy.proposals_count.other,The meeting cannot be destroyed because it has %{count} proposals associated to it:,"Tuto schůzi nelze smazat, protože je s ní spojeno %{count} návrhů:",,
decidim.meetings.actions.new,New meeting,Nová schůze,,
decidim.meetings.content_blocks.upcoming_events.upcoming_events,Upcoming meetings,Nadcházející schůze,,
decidim.meetings.directory.meetings.index.meetings,Meetings,Schůze,,
